ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,delta
AAPL,1/1/2015,110.38,41304780,112.82,113.13,110.21,-2%
AMZN,1/1/2015,310.35,2048676,311.55,312.98,310.01,0%
GOOGL,1/1/2015,530.66,1235889,537.74,538.4,530.2,-1%
GOOG,1/1/2015,526.4,1367110,531.25,532.6,525.8,-1%
MSFT,1/1/2015,46.45,21551090,46.73,47.44,46.45,-1%
TSLA,1/1/2015,222.41,2392947,223.09,225.68,222.25,0%
AAPL,1/2/2015,109.33,53143770,111.39,111.44,107.35,-2%
AMZN,1/2/2015,308.52,2785167,312.58,314.75,306.9601,-1%
GOOGL,1/2/2015,529.55,1325271,532.6,535.8,527.88,-1%
GOOG,1/2/2015,524.81,1444809,529.01,531.27,524.1,-1%
MSFT,1/2/2015,46.76,27843560,46.66,47.42,46.54,0%
TSLA,1/2/2015,219.31,4753239,222.87,223.25,213.26,-2%
AAPL,1/3/2015,109.33,53143770,111.39,111.44,107.35,-2%
AMZN,1/3/2015,308.52,2785167,312.58,314.75,306.9601,-1%
GOOGL,1/3/2015,529.55,1325271,532.6,535.8,527.88,-1%
GOOG,1/3/2015,524.81,1444809,529.01,531.27,524.1,-1%
MSFT,1/3/2015,46.76,27843560,46.66,47.42,46.54,0%
TSLA,1/3/2015,219.31,4753239,222.87,223.25,213.26,-2%
AAPL,1/4/2015,109.33,53143770,111.39,111.44,107.35,-2%
AMZN,1/4/2015,308.52,2785167,312.58,314.75,306.9601,-1%
GOOGL,1/4/2015,529.55,1325271,532.6,535.8,527.88,-1%
GOOG,1/4/2015,524.81,1444809,529.01,531.27,524.1,-1%
MSFT,1/4/2015,46.76,27843560,46.66,47.42,46.54,0%
TSLA,1/4/2015,219.31,4753239,222.87,223.25,213.26,-2%
AAPL,1/5/2015,106.25,64210880,108.29,108.65,105.41,-2%
AMZN,1/5/2015,302.19,2768215,307.01,308.38,300.85,-2%
GOOGL,1/5/2015,519.46,2054120,527.15,527.9899,517.75,-1%
GOOG,1/5/2015,513.87,2049303,523.26,524.33,513.06,-2%
MSFT,1/5/2015,46.325,39667400,46.37,46.73,46.25,0%
TSLA,1/5/2015,210.09,5355485,214.55,216.5,207.1626,-2%
AAPL,1/6/2015,106.26,65682250,106.54,107.43,104.63,0%
AMZN,1/6/2015,295.29,3511003,302.24,303,292.38,-2%
GOOGL,1/6/2015,506.64,2727897,520.5,521.21,505.55,-3%
GOOG,1/6/2015,501.96,2884479,515,516.175,501.05,-3%
MSFT,1/6/2015,45.65,36434980,46.38,46.749,45.54,-2%
TSLA,1/6/2015,211.28,6257651,210.06,214.2,204.21,1%
AAPL,1/7/2015,107.75,39983350,107.2,108.2,106.695,1%
AMZN,1/7/2015,298.42,2630671,297.5,301.28,295.33,0%
GOOGL,1/7/2015,505.15,2345062,510.95,511.49,503.65,-1%
GOOG,1/7/2015,501.1,2053750,507,507.244,499.65,-1%
MSFT,1/7/2015,46.23,29103920,45.98,46.46,45.49,1%
TSLA,1/7/2015,210.95,2965330,213.35,214.78,209.78,-1%
AAPL,1/8/2015,111.89,59168760,109.23,112.15,108.7,2%
AMZN,1/8/2015,300.46,3087475,300.32,303.14,296.11,0%
GOOGL,1/8/2015,506.91,3661816,501.51,507.5,495.02,1%
GOOG,1/8/2015,502.68,3341935,497.99,503.48,491,1%
MSFT,1/8/2015,47.59,29634030,46.75,47.7499,46.72,2%
TSLA,1/8/2015,210.615,3434901,212.81,213.7999,210.01,-1%
AAPL,1/9/2015,112.01,53645730,112.67,113.25,110.21,-1%
AMZN,1/9/2015,296.93,2589914,301.48,302.87,296.68,-2%
GOOGL,1/9/2015,500.72,2097137,508.18,508.6,498.65,-1%
GOOG,1/9/2015,496.17,2063743,504.76,504.92,494.79,-2%
MSFT,1/9/2015,47.19,23942750,47.61,47.82,46.9,-1%
TSLA,1/9/2015,206.66,4591310,208.92,209.98,204.96,-1%
AAPL,1/10/2015,112.01,53645730,112.67,113.25,110.21,-1%
AMZN,1/10/2015,296.93,2589914,301.48,302.87,296.68,-2%
GOOGL,1/10/2015,500.72,2097137,508.18,508.6,498.65,-1%
GOOG,1/10/2015,496.17,2063743,504.76,504.92,494.79,-2%
MSFT,1/10/2015,47.19,23942750,47.61,47.82,46.9,-1%
TSLA,1/10/2015,206.66,4591310,208.92,209.98,204.96,-1%
AAPL,1/11/2015,112.01,53645730,112.67,113.25,110.21,-1%
AMZN,1/11/2015,296.93,2589914,301.48,302.87,296.68,-2%
GOOGL,1/11/2015,500.72,2097137,508.18,508.6,498.65,-1%
GOOG,1/11/2015,496.17,2063743,504.76,504.92,494.79,-2%
MSFT,1/11/2015,47.19,23942750,47.61,47.82,46.9,-1%
TSLA,1/11/2015,206.66,4591310,208.92,209.98,204.96,-1%
AAPL,1/12/2015,109.25,49571170,112.6,112.63,108.8,-3%
AMZN,1/12/2015,291.41,3406438,297.56,298.51,289.281,-2%
GOOGL,1/12/2015,497.06,2855348,499.24,500.28,490.91,0%
GOOG,1/12/2015,492.55,2317278,494.94,495.976,487.56,0%
MSFT,1/12/2015,46.6,23623970,47.42,47.54,46.36,-2%
