date,Asset,Value
10/31/2018,ADA,0.07199
11/1/2018,ADA,0.07198
11/2/2018,ADA,0.0738
11/3/2018,ADA,0.07331
11/4/2018,ADA,0.07857
11/5/2018,ADA,0.07946
11/6/2018,ADA,0.08198
11/7/2018,ADA,0.0826
11/8/2018,ADA,0.08
11/9/2018,ADA,0.0782
11/10/2018,ADA,0.07657
11/11/2018,ADA,0.07798
11/12/2018,ADA,0.078
11/13/2018,ADA,0.07715
11/14/2018,ADA,0.0747
11/15/2018,ADA,0.0669
11/16/2018,ADA,0.06499
11/17/2018,ADA,0.06157
11/18/2018,ADA,0.06354
11/19/2018,ADA,0.06246
11/20/2018,ADA,0.05334
11/21/2018,ADA,0.04971
11/22/2018,ADA,0.04914
11/23/2018,ADA,0.0451
11/24/2018,ADA,0.0454
11/25/2018,ADA,0.03965
11/26/2018,ADA,0.04017
11/27/2018,ADA,0.03778
11/28/2018,ADA,0.0442
11/29/2018,ADA,0.04487
11/30/2018,ADA,0.0425
12/1/2018,ADA,0.0424
12/2/2018,ADA,0.0434
12/3/2018,ADA,0.04214
12/4/2018,ADA,0.04019
12/5/2018,ADA,0.03768
12/6/2018,ADA,0.0359
12/7/2018,ADA,0.031
12/8/2018,ADA,0.03246
12/9/2018,ADA,0.03242
12/10/2018,ADA,0.03199
12/11/2018,ADA,0.03013
12/12/2018,ADA,0.03088
12/13/2018,ADA,0.03067
12/14/2018,ADA,0.0296
12/15/2018,ADA,0.0286
12/16/2018,ADA,0.02986
12/17/2018,ADA,0.03371
12/18/2018,ADA,0.03463
12/19/2018,ADA,0.03808
12/20/2018,ADA,0.03987
12/21/2018,ADA,0.04479
12/22/2018,ADA,0.04175
12/23/2018,ADA,0.04444
12/24/2018,ADA,0.04899
12/25/2018,ADA,0.04522
12/26/2018,ADA,0.04268
12/27/2018,ADA,0.04139
12/28/2018,ADA,0.04195
12/29/2018,ADA,0.04355
12/30/2018,ADA,0.04319
12/31/2018,ADA,0.04275
1/1/2019,ADA,0.042
1/2/2019,ADA,0.04543
1/3/2019,ADA,0.04462
1/4/2019,ADA,0.04361
1/5/2019,ADA,0.04514
1/6/2019,ADA,0.0488
1/7/2019,ADA,0.05
1/8/2019,ADA,0.0497
1/9/2019,ADA,0.05231
1/10/2019,ADA,0.05412
1/11/2019,ADA,0.04435
1/12/2019,ADA,0.04393
1/13/2019,ADA,0.04312
1/14/2019,ADA,0.04399
1/15/2019,ADA,0.04387
1/16/2019,ADA,0.04466
1/17/2019,ADA,0.04575
1/18/2019,ADA,0.04478
1/19/2019,ADA,0.04597
1/20/2019,ADA,0.04556
1/21/2019,ADA,0.04339
1/22/2019,ADA,0.04401
1/23/2019,ADA,0.04392
1/24/2019,ADA,0.04342
1/25/2019,ADA,0.04301
1/26/2019,ADA,0.04338
1/27/2019,ADA,0.04247
1/28/2019,ADA,0.04121
1/29/2019,ADA,0.03971
1/30/2019,ADA,0.04015
1/31/2019,ADA,0.04023
2/1/2019,ADA,0.03912
2/2/2019,ADA,0.0395
2/3/2019,ADA,0.03946
2/4/2019,ADA,0.03883
2/5/2019,ADA,0.03868
2/6/2019,ADA,0.03829
2/7/2019,ADA,0.03734
2/8/2019,ADA,0.0425
2/9/2019,ADA,0.04223
2/10/2019,ADA,0.04309
2/11/2019,ADA,0.04299
2/12/2019,ADA,0.04208
2/13/2019,ADA,0.04244
2/14/2019,ADA,0.04144
2/15/2019,ADA,0.0416
2/16/2019,ADA,0.04148
2/17/2019,ADA,0.04228
2/18/2019,ADA,0.04686
2/19/2019,ADA,0.0485
2/20/2019,ADA,0.0477
2/21/2019,ADA,0.04809
2/22/2019,ADA,0.0461
2/23/2019,ADA,0.04903
2/24/2019,ADA,0.05053
2/25/2019,ADA,0.04433
2/26/2019,ADA,0.04358
2/27/2019,ADA,0.04343
2/28/2019,ADA,0.04368
3/1/2019,ADA,0.04386
3/2/2019,ADA,0.04338
3/3/2019,ADA,0.04276
3/4/2019,ADA,0.04236
3/5/2019,ADA,0.0434
3/6/2019,ADA,0.04327
3/7/2019,ADA,0.04338
3/8/2019,ADA,0.04386
3/9/2019,ADA,0.0472
3/10/2019,ADA,0.04689
3/11/2019,ADA,0.04842
3/12/2019,ADA,0.04816
3/13/2019,ADA,0.04851
3/14/2019,ADA,0.04812
3/15/2019,ADA,0.05065
3/16/2019,ADA,0.05195
3/17/2019,ADA,0.05134
3/18/2019,ADA,0.0509
3/19/2019,ADA,0.05313
3/20/2019,ADA,0.05372
3/21/2019,ADA,0.0547
3/22/2019,ADA,0.05888
3/23/2019,ADA,0.06464
3/24/2019,ADA,0.06455
3/25/2019,ADA,0.06155
3/26/2019,ADA,0.06188
3/27/2019,ADA,0.06783
3/28/2019,ADA,0.06692
3/29/2019,ADA,0.07338
3/30/2019,ADA,0.07302
3/31/2019,ADA,0.07249
4/1/2019,ADA,0.0727
4/2/2019,ADA,0.08549
4/3/2019,ADA,0.09976
4/4/2019,ADA,0.094
4/5/2019,ADA,0.09209
4/6/2019,ADA,0.09375
4/7/2019,ADA,0.09112
4/8/2019,ADA,0.09175
4/9/2019,ADA,0.0862
4/10/2019,ADA,0.0916
4/11/2019,ADA,0.09023
4/12/2019,ADA,0.0849
4/13/2019,ADA,0.08477
4/14/2019,ADA,0.08488
4/15/2019,ADA,0.08531
4/16/2019,ADA,0.08314
4/17/2019,ADA,0.08394
4/18/2019,ADA,0.08349
4/19/2019,ADA,0.0812
4/20/2019,ADA,0.07903
4/21/2019,ADA,0.07746
4/22/2019,ADA,0.07885
4/23/2019,ADA,0.07979
4/24/2019,ADA,0.0752
4/25/2019,ADA,0.076
4/26/2019,ADA,0.0725
4/27/2019,ADA,0.07237
4/28/2019,ADA,0.07123
4/29/2019,ADA,0.0693
4/30/2019,ADA,0.07019
5/1/2019,ADA,0.0706
5/2/2019,ADA,0.06977
5/3/2019,ADA,0.0718
5/4/2019,ADA,0.07225
5/5/2019,ADA,0.06816
5/6/2019,ADA,0.0688
5/7/2019,ADA,0.06882
5/8/2019,ADA,0.06545
5/9/2019,ADA,0.06537
5/10/2019,ADA,0.06529
5/11/2019,ADA,0.07854
5/12/2019,ADA,0.07707
5/13/2019,ADA,0.07646
5/14/2019,ADA,0.08479
5/15/2019,ADA,0.09535
5/16/2019,ADA,0.1008
5/17/2019,ADA,0.0908
5/18/2019,ADA,0.08507
5/19/2019,ADA,0.088
5/20/2019,ADA,0.0869
5/21/2019,ADA,0.086
5/22/2019,ADA,0.08541
5/23/2019,ADA,0.08435
5/24/2019,ADA,0.08315
5/25/2019,ADA,0.0822
5/26/2019,ADA,0.08682
5/27/2019,ADA,0.09384
5/28/2019,ADA,0.09351
5/29/2019,ADA,0.09362
5/30/2019,ADA,0.0968
5/31/2019,ADA,0.08983
6/1/2019,ADA,0.0927
6/2/2019,ADA,0.09755
6/3/2019,ADA,0.09833
6/4/2019,ADA,0.08832
6/5/2019,ADA,0.08431
6/6/2019,ADA,0.08385
6/7/2019,ADA,0.08702
6/8/2019,ADA,0.08622
6/9/2019,ADA,0.08385
6/10/2019,ADA,0.08529
6/11/2019,ADA,0.08913
6/12/2019,ADA,0.09628
6/13/2019,ADA,0.0966
6/14/2019,ADA,0.09095
6/15/2019,ADA,0.0926
6/16/2019,ADA,0.09402
6/17/2019,ADA,0.09365
6/18/2019,ADA,0.09365
6/19/2019,ADA,0.09158
6/20/2019,ADA,0.0903
6/21/2019,ADA,0.0908
6/22/2019,ADA,0.0977
6/23/2019,ADA,0.10379
6/24/2019,ADA,0.09959
6/25/2019,ADA,0.09831
6/26/2019,ADA,0.10687
6/27/2019,ADA,0.09954
6/28/2019,ADA,0.089
6/29/2019,ADA,0.09095
6/30/2019,ADA,0.09077
7/1/2019,ADA,0.08599
7/2/2019,ADA,0.08432
7/3/2019,ADA,0.08315
7/4/2019,ADA,0.08249
7/5/2019,ADA,0.07814
7/6/2019,ADA,0.08076
7/7/2019,ADA,0.08004
7/8/2019,ADA,0.08193
7/9/2019,ADA,0.08073
7/10/2019,ADA,0.07835
7/11/2019,ADA,0.0717
7/12/2019,ADA,0.07057
7/13/2019,ADA,0.07149
7/14/2019,ADA,0.0671
7/15/2019,ADA,0.06015
7/16/2019,ADA,0.06095
7/17/2019,ADA,0.05777
7/18/2019,ADA,0.05965
7/19/2019,ADA,0.06068
7/20/2019,ADA,0.06509
7/21/2019,ADA,0.064
7/22/2019,ADA,0.06216
7/23/2019,ADA,0.0596
7/24/2019,ADA,0.05904
7/25/2019,ADA,0.06069
7/26/2019,ADA,0.06297
7/27/2019,ADA,0.06354
7/28/2019,ADA,0.06018
7/29/2019,ADA,0.06258
7/30/2019,ADA,0.06141
7/31/2019,ADA,0.06108
8/1/2019,ADA,0.06035
8/2/2019,ADA,0.05882
8/3/2019,ADA,0.0583
