date,Asset,Value
1/3/2017,AMC,34.75
1/4/2017,AMC,34.2
1/5/2017,AMC,34
1/6/2017,AMC,33.8
1/9/2017,AMC,33.3
1/10/2017,AMC,34.15
1/11/2017,AMC,34.3
1/12/2017,AMC,34
1/13/2017,AMC,34.25
1/17/2017,AMC,33.9
1/18/2017,AMC,33.8
1/19/2017,AMC,33.9
1/20/2017,AMC,34.3
1/23/2017,AMC,34.1
1/24/2017,AMC,34.3
1/25/2017,AMC,34.15
1/26/2017,AMC,34.25
1/27/2017,AMC,34
1/30/2017,AMC,34.15
1/31/2017,AMC,33.75
2/1/2017,AMC,33
2/2/2017,AMC,33.05
2/3/2017,AMC,32.9
2/6/2017,AMC,32.65
2/7/2017,AMC,32.5
2/8/2017,AMC,31.05
2/9/2017,AMC,31
2/10/2017,AMC,31.35
2/13/2017,AMC,31.35
2/14/2017,AMC,31.4
2/15/2017,AMC,31.5
2/16/2017,AMC,31.25
2/17/2017,AMC,31.2
2/21/2017,AMC,30.85
2/22/2017,AMC,31.35
2/23/2017,AMC,31.35
2/24/2017,AMC,31.4
2/27/2017,AMC,31.45
2/28/2017,AMC,31.35
3/1/2017,AMC,30.4
3/2/2017,AMC,29.75
3/3/2017,AMC,29.4
3/6/2017,AMC,29.3
3/7/2017,AMC,29.45
3/8/2017,AMC,29.55
3/9/2017,AMC,29.55
3/10/2017,AMC,30.15
3/13/2017,AMC,30.4
3/14/2017,AMC,30.55
3/15/2017,AMC,30.1
3/16/2017,AMC,30.2
3/17/2017,AMC,30.6
3/20/2017,AMC,30.6
3/21/2017,AMC,30.15
3/22/2017,AMC,30.3
3/23/2017,AMC,30.2
3/24/2017,AMC,30.85
3/27/2017,AMC,30.8
3/28/2017,AMC,30.55
3/29/2017,AMC,30.95
3/30/2017,AMC,31.15
3/31/2017,AMC,31.45
4/3/2017,AMC,31.85
4/4/2017,AMC,31.55
4/5/2017,AMC,31
4/6/2017,AMC,30.8
4/7/2017,AMC,30.35
4/10/2017,AMC,30.65
4/11/2017,AMC,30.7
