,date,Coin,Value
0,2018-10-31,ADA,0.07199
1,2018-11-01,ADA,0.07198
2,2018-11-02,ADA,0.0738
3,2018-11-03,ADA,0.07331
4,2018-11-04,ADA,0.07857
5,2018-11-05,ADA,0.07946
6,2018-11-06,ADA,0.08198
7,2018-11-07,ADA,0.0826
8,2018-11-08,ADA,0.08
9,2018-11-09,ADA,0.0782
10,2018-11-10,ADA,0.07657
11,2018-11-11,ADA,0.07798
12,2018-11-12,ADA,0.078
13,2018-11-13,ADA,0.07715
14,2018-11-14,ADA,0.0747
15,2018-11-15,ADA,0.0669
16,2018-11-16,ADA,0.06499
17,2018-11-17,ADA,0.06157
18,2018-11-18,ADA,0.06354
19,2018-11-19,ADA,0.06246
20,2018-11-20,ADA,0.05334
21,2018-11-21,ADA,0.04971
22,2018-11-22,ADA,0.04914
23,2018-11-23,ADA,0.0451
24,2018-11-24,ADA,0.0454
25,2018-11-25,ADA,0.03965
26,2018-11-26,ADA,0.04017
27,2018-11-27,ADA,0.03778
28,2018-11-28,ADA,0.0442
29,2018-11-29,ADA,0.04487
30,2018-11-30,ADA,0.0425
31,2018-12-01,ADA,0.0424
32,2018-12-02,ADA,0.0434
33,2018-12-03,ADA,0.04214
34,2018-12-04,ADA,0.04019
35,2018-12-05,ADA,0.03768
36,2018-12-06,ADA,0.0359
37,2018-12-07,ADA,0.031
38,2018-12-08,ADA,0.03246
39,2018-12-09,ADA,0.03242
40,2018-12-10,ADA,0.03199
41,2018-12-11,ADA,0.03013
42,2018-12-12,ADA,0.03088
43,2018-12-13,ADA,0.03067
44,2018-12-14,ADA,0.0296
45,2018-12-15,ADA,0.0286
46,2018-12-16,ADA,0.02986
47,2018-12-17,ADA,0.03371
48,2018-12-18,ADA,0.03463
49,2018-12-19,ADA,0.03808
50,2018-12-20,ADA,0.03987
51,2018-12-21,ADA,0.04479
52,2018-12-22,ADA,0.04175
53,2018-12-23,ADA,0.04444
54,2018-12-24,ADA,0.04899
55,2018-12-25,ADA,0.04522
56,2018-12-26,ADA,0.04268
57,2018-12-27,ADA,0.04139
58,2018-12-28,ADA,0.04195
59,2018-12-29,ADA,0.04355
60,2018-12-30,ADA,0.04319
61,2018-12-31,ADA,0.04275
62,2019-01-01,ADA,0.042
63,2019-01-02,ADA,0.04543
64,2019-01-03,ADA,0.04462
65,2019-01-04,ADA,0.04361
66,2019-01-05,ADA,0.04514
67,2019-01-06,ADA,0.0488
